Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Belize,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,21,,18,,0,...,0,...,0,...,0,...,16,,12,,2,,0,N,0,...,0,...,0,...,0,...,20,,0,N,0,...,0,...,66,,0,...,0,...,1,,1,,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Benin,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,119,,119,E,41,,69,,2,,0,...,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,60,,143,,0,...,0,...,1,E,72,,23,,0,...,2,,3,,9,,0,...,0,...,247,,648,,65,,111,,1149,,1082,,505,,479,,1097,,198,,171,,4,,113.31,,22.54,
Benin,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,6247,,6216,,7186,,6954,,4125,,4895,,5856,,4351,,4523,,5658,,7481,,5402,,5160,,2214,,2600,E,10182,,13524,,18715,,11542,,13358,,11284,,11244,,8265,,15333,,21181,,11481,,21333,,26583,,27516,,35582,,50979,,53926,,64229,,55687,,56042,,60707,,78700,,84419,,78485,,94739,,111844,,57070,,96257,,108862.88,
Benin,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,3,,0,...,0,...,0,...
Bermuda,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,18700,,33400,,25190,,17000,E,15000,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,E,2,,0,...,2,E,4,,0,...,3,E,80,E,20,E,0,...,21,E,2,E,20,E,25,E,19,E,0,...,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0.02,
Bermuda,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,616,E,641,E,690,E,1216,E,772,E,774,E,837,E,870,E,884,E,862,E,840,E,705,E,869,E,774,E,1240,E,1032,E,1091,E,909,E,900,E,645,E,660,E,787,E,740,E,736,E,678,E,908,E,802,E,718,E,738,E,1533,E,1695,E,1664,E,1567,E,1320,E,882,E,1006,E,1085,E,1058,E,1079,,1339,,1145,,974,,1129,,911.29,
Bhutan,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,116,,12,,0,...,0,N,0,...,1,,3,,0,...,1,E,0,...,0,...,0,...,0,...,0,...,4.54,E
Bhutan,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1699,,1706,,1674,,1147,,1081,,1324,,1475,,1363,,1490,E,1500,E,1488,E,1392,E,1300,E,1528,E,1691.88,E
Bolivia (Plurinat.State),Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,,50,,20,,122,,185,,134,,164,,192,,476,,405,,427,,117,,28,,8,,41,,17,,7,,29,,85,,7,,19,E,0,N,1,,0,N,12,,32,,33,,3,,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...
Bolivia (Plurinat.State),Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,3276,,4646,,5974,,6496,,8317,,8693,,1004,,1425,,2246,,2281,,1361,,1928,,222,,939,,201,,143,,459,,2636,,4327,,2977,,2974,,5389,,4618,,3894,,10081,,6326,,6101,,4071,,6005,,8005,,7928,,4833,,9522,,8970,,7601,,10969,,10762,,10912,,12146,,13654,,13798,,14452,,13616,,16367.52,
Bolivia (Plurinat.State),Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,19,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Bosnia and Herzegovina,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,60,E,35,E,100,E,237,,787,,688,,463,,567,,908,,852,,876,,819,,345,,369,,132,,166,,265,,279,,175,,865.51,
Bosnia and Herzegovina,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,218,E,1773,E,300,E,1355,E,290,E,1690,E,1039,E,6395,E,7944,E,7498,E,10266,E,11629,,14955,,16645,,12533,,12129,,12626,,12251,,11329,,9921,,8414,,8442,,9968,,9577,,10369,,9592,,10432,,13451.9,
Botswana,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,10,E,5,E,17,E,7,E,32,E,23,,0,...,15,E,69,E,230,E,269,,292,,573,,102,,43,,27,,36,,50,,19,,40,,5,,48,,30,E,15,,65,,35,,107,,62,,94,,269,,338,,37,,112,,35,,30,,75,,224,,698,,884,,1272,,163,,924,E,1369.95,
